id,created_time,creator_id,modified_time,modifier_id,is_deleted,job_id,job_name,job_group,func_name,func_args,func_kwargs,run_info,run_except_info,run_status,run_time
664,2024-06-05 20:00:01.580503,0,2024-06-05 20:00:01.580503,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:250本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-05 20:00:00.000000
665,2024-06-06 00:00:03.066156,0,2024-06-06 00:00:03.066156,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:250本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-06 00:00:00.000000
666,2024-06-06 00:13:39.721556,0,2024-06-06 00:13:39.721556,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-06 00:13:39.642585
667,2024-06-06 00:13:47.143535,0,2024-06-06 00:13:47.143535,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:250本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-06 00:13:44.000000
668,2024-06-06 00:19:50.652918,0,2024-06-06 00:19:50.652918,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-06 00:19:50.582547
669,2024-06-06 00:19:56.801146,0,2024-06-06 00:19:56.801146,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:250本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-06 00:19:55.000000
670,2024-06-06 02:55:41.176790,0,2024-06-06 02:55:41.176790,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-06 02:55:41.109732
671,2024-06-06 02:55:47.826877,0,2024-06-06 02:55:47.826877,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:250本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-06 02:55:46.000000
672,2024-06-06 04:00:02.586240,0,2024-06-06 04:00:02.586240,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:250本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-06 04:00:00.000000
673,2024-06-06 08:00:01.668178,0,2024-06-06 08:00:01.668178,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:250本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-06 08:00:00.000000
